SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ASSAM & MEGHALAYA,1980,21.5,29.8,108.4,198.5,405.2,635.4,705.1,535.0,340.2,142.1,12.4,4.1,3137.7,51.3,712.1,2215.7,158.6
ASSAM & MEGHALAYA,1988,32.5,45.1,135.2,245.8,490.2,710.5,820.4,610.2,390.5,175.4,21.0,8.5,3685.3,77.6,871.2,2531.6,204.9
ASSAM & MEGHALAYA,1998,35.0,48.2,142.0,255.1,510.4,730.2,850.1,630.5,410.2,185.0,24.1,9.8,3825.6,83.2,907.5,2621.0,218.9
ASSAM & MEGHALAYA,2004,31.2,42.8,130.5,238.1,480.5,695.2,805.1,595.4,380.1,168.2,19.8,7.2,3594.1,74.0,849.1,2475.8,195.2
ASSAM & MEGHALAYA,2010,24.1,32.5,112.0,202.4,418.5,642.1,718.2,542.0,348.5,145.2,13.1,4.5,3203.1,56.6,732.9,2250.8,162.8
ASSAM & MEGHALAYA,2017,26.8,36.4,120.5,215.8,435.2,665.4,745.0,568.1,362.4,152.0,15.8,5.2,3345.4,63.2,771.5,2340.9,173.0
ARUNACHAL PRADESH,1901,35.2,28.4,110.2,195.4,310.5,520.1,610.2,490.5,310.2,140.5,20.1,8.2,2779.0,63.6,616.1,1931.0,168.8
ARUNACHAL PRADESH,1910,38.1,31.2,118.5,205.1,328.4,545.2,635.4,515.0,325.4,150.2,22.4,9.5,2924.3,69.3,652.0,2021.0,182.1
ARUNACHAL PRADESH,1930,42.5,35.0,128.4,220.5,350.1,570.4,670.1,540.2,345.1,162.4,25.1,11.2,3101.0,77.5,699.0,2125.8,198.7
ARUNACHAL PRADESH,1950,45.0,38.2,135.1,235.4,370.5,595.2,705.4,565.1,365.2,175.0,28.5,13.0,3271.6,83.2,741.0,2230.9,216.5
ARUNACHAL PRADESH,1970,30.5,24.1,98.2,180.5,290.4,495.1,580.2,465.0,290.5,128.4,17.2,6.5,2604.6,54.6,569.1,1830.8,152.1
ARUNACHAL PRADESH,1998,48.2,42.5,148.5,255.0,405.2,640.1,760.5,615.2,405.1,195.2,32.1,15.4,3563.0,90.7,808.7,2420.9,242.7
ARUNACHAL PRADESH,2017,40.2,34.8,125.0,215.2,340.5,560.2,660.1,530.4,340.2,158.0,24.0,10.5,3039.1,75.0,680.7,2090.9,192.5
NAGA MANI MIZO TRIPURA,1901,15.2,18.4,72.5,145.2,280.1,430.5,410.2,390.4,240.5,120.1,15.2,4.1,2142.9,33.6,497.8,1471.6,139.4
NAGA MANI MIZO TRIPURA,1930,18.4,22.1,82.0,160.5,305.4,460.2,440.5,420.1,260.4,135.2,18.1,5.5,2328.4,40.5,547.9,1581.2,158.8
NAGA MANI MIZO TRIPURA,1960,12.5,15.0,65.2,130.4,250.1,400.5,380.2,360.4,215.0,105.4,12.0,3.0,1949.7,27.5,445.7,1356.1,120.4
NAGA MANI MIZO TRIPURA,1998,22.1,26.5,95.4,185.2,345.0,510.2,490.5,470.1,305.4,158.2,22.5,7.8,2638.9,48.6,625.6,1776.2,188.5
NAGA MANI MIZO TRIPURA,2017,17.5,21.0,80.1,155.0,298.4,452.1,432.0,412.5,255.0,130.4,17.0,5.0,2276.0,38.5,533.5,1551.6,152.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1901,12.1,16.5,45.2,110.4,295.1,605.2,710.4,590.2,380.5,135.2,11.2,3.5,2915.5,28.6,450.7,2286.3,149.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1950,15.4,21.0,58.2,135.0,330.4,650.1,760.5,640.2,420.1,155.0,15.0,5.0,3205.9,36.4,523.6,2470.9,175.0
SUB HIMALAYAN WEST BENGAL & SIKKIM,1998,20.5,26.4,72.1,160.2,375.0,710.5,830.2,705.4,475.1,180.2,20.1,7.5,3563.2,46.9,607.3,2721.2,207.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,2017,14.8,20.1,55.0,130.2,320.5,635.0,745.2,625.1,405.0,148.0,14.2,4.5,3102.6,34.9,505.7,2410.3,166.7
